#metric_id,frequency_type,subject,measure,gdf_id,graph_id,discovery_ts
030001008700000005000000010000001900000006000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme1n1,MGType:System Metrics>MGroup:Device Stats>Metric:Average Size Of Request (Sectors),10148,7,1617690410
030001008700000005000000010000001900000007000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme1n1,MGType:System Metrics>MGroup:Device Stats>Metric:Average Queue length,10148,8,1617690410
030001008700000005000000010000001900000008000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme1n1,MGType:System Metrics>MGroup:Device Stats>Metric:Average Request Time (ms),10148,9,1617690410
030001008700000005000000010000001900000009000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme1n1,MGType:System Metrics>MGroup:Device Stats>Metric:Average Service Time (ms),10148,10,1617690410
03000100870000000500000001000000190000000A000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme1n1,MGType:System Metrics>MGroup:Device Stats>Metric:Bandwidth Utilization (Pct),10148,11,1617690410
030001008700000005000000020000001900000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme2n1,MGType:System Metrics>MGroup:Device Stats>Metric:Read Requests Merged/Sec,10148,1,1617690410
030001008700000005000000020000001900000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme2n1,MGType:System Metrics>MGroup:Device Stats>Metric:Write Requests Merged/Sec,10148,2,1617690410
030001008700000005000000020000001900000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme2n1,MGType:System Metrics>MGroup:Device Stats>Metric:Read Requests/Sec,10148,3,1617690410
030001008700000005000000020000001900000003000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme2n1,MGType:System Metrics>MGroup:Device Stats>Metric:Write Requests/Sec,10148,4,1617690410
030001008700000005000000020000001900000004000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme2n1,MGType:System Metrics>MGroup:Device Stats>Metric:Read KBytes/Sec,10148,5,1617690410
030001008700000005000000020000001900000005000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>Device:nvme2n1,MGType:System Metrics>MGroup:Device Stats>Metric:Write KBytes/Sec,10148,6,1617690410
